timestamp,crop_type,indoor_temperature_c,canopy_temperature_c,ambient_temperature_c,humidity_pct,soil_moisture_pct,co2_ppm,light_lux
2025-01-07 00:00:00,brinjal,20.8,20.0,19.3,74.04,39.64,424.0,850
2025-01-07 01:00:00,brinjal,22.0,21.2,20.5,72.6,39.1,430.0,871
2025-01-07 02:00:00,brinjal,23.2,22.4,21.7,71.16,38.56,436.0,892
2025-01-07 03:00:00,brinjal,24.8,24.0,23.3,69.24,37.84,444.0,913
2025-01-07 04:00:00,brinjal,27.3,26.5,25.8,66.24,36.71,456.5,934
2025-01-07 05:00:00,brinjal,29.6,28.8,28.1,63.48,35.68,468.0,955
2025-01-07 06:00:00,brinjal,30.1,29.3,28.6,62.88,35.45,470.5,976
2025-01-07 07:00:00,brinjal,30.8,30.0,29.3,62.04,35.14,474.0,997
2025-01-07 08:00:00,brinjal,32.0,31.2,30.5,60.6,34.6,480.0,1018
2025-01-07 09:00:00,brinjal,32.8,32.0,31.3,59.64,34.24,484.0,1039
2025-01-07 10:00:00,brinjal,31.3,30.5,29.8,61.44,34.91,476.5,1060
2025-01-07 11:00:00,brinjal,29.2,28.4,27.7,63.96,35.86,466.0,1081
2025-01-07 12:00:00,brinjal,26.5,25.7,25.0,67.2,37.08,452.5,1102
2025-01-07 13:00:00,brinjal,23.9,23.1,22.4,70.32,38.24,439.5,1123
2025-01-07 14:00:00,brinjal,20.8,20.0,19.3,74.04,39.64,424.0,1144
2025-01-07 15:00:00,brinjal,22.0,21.2,20.5,72.6,39.1,430.0,1165
2025-01-07 16:00:00,brinjal,23.2,22.4,21.7,71.16,38.56,436.0,1186
2025-01-07 17:00:00,brinjal,24.8,24.0,23.3,69.24,37.84,444.0,1207
2025-01-07 18:00:00,brinjal,27.3,26.5,25.8,66.24,36.71,456.5,1228
2025-01-07 19:00:00,brinjal,29.6,28.8,28.1,63.48,35.68,468.0,1249
2025-01-07 20:00:00,brinjal,30.1,29.3,28.6,62.88,35.45,470.5,1270
2025-01-07 21:00:00,brinjal,30.8,30.0,29.3,62.04,35.14,474.0,1291
2025-01-07 22:00:00,brinjal,32.0,31.2,30.5,60.6,34.6,480.0,1312
2025-01-07 23:00:00,brinjal,32.8,32.0,31.3,59.64,34.24,484.0,1333
2025-01-08 00:00:00,brinjal,31.3,30.5,29.8,61.44,34.91,476.5,850
2025-01-08 01:00:00,brinjal,29.2,28.4,27.7,63.96,35.86,466.0,871
2025-01-08 02:00:00,brinjal,26.5,25.7,25.0,67.2,37.08,452.5,892
2025-01-08 03:00:00,brinjal,23.9,23.1,22.4,70.32,38.24,439.5,913
2025-01-08 04:00:00,brinjal,20.8,20.0,19.3,74.04,39.64,424.0,934
2025-01-08 05:00:00,brinjal,22.0,21.2,20.5,72.6,39.1,430.0,955
2025-01-08 06:00:00,brinjal,23.2,22.4,21.7,71.16,38.56,436.0,976
2025-01-08 07:00:00,brinjal,24.8,24.0,23.3,69.24,37.84,444.0,997
2025-01-08 08:00:00,brinjal,27.3,26.5,25.8,66.24,36.71,456.5,1018
2025-01-08 09:00:00,brinjal,29.6,28.8,28.1,63.48,35.68,468.0,1039
2025-01-08 10:00:00,brinjal,30.1,29.3,28.6,62.88,35.45,470.5,1060
2025-01-08 11:00:00,brinjal,30.8,30.0,29.3,62.04,35.14,474.0,1081
2025-01-08 12:00:00,brinjal,32.0,31.2,30.5,60.6,34.6,480.0,1102
2025-01-08 13:00:00,brinjal,32.8,32.0,31.3,59.64,34.24,484.0,1123
2025-01-08 14:00:00,brinjal,31.3,30.5,29.8,61.44,34.91,476.5,1144
2025-01-08 15:00:00,brinjal,29.2,28.4,27.7,63.96,35.86,466.0,1165
2025-01-08 16:00:00,brinjal,26.5,25.7,25.0,67.2,37.08,452.5,1186
2025-01-08 17:00:00,brinjal,23.9,23.1,22.4,70.32,38.24,439.5,1207
2025-01-08 18:00:00,brinjal,20.8,20.0,19.3,74.04,39.64,424.0,1228
2025-01-08 19:00:00,brinjal,22.0,21.2,20.5,72.6,39.1,430.0,1249
2025-01-08 20:00:00,brinjal,23.2,22.4,21.7,71.16,38.56,436.0,1270
2025-01-08 21:00:00,brinjal,24.8,24.0,23.3,69.24,37.84,444.0,1291
2025-01-08 22:00:00,brinjal,27.3,26.5,25.8,66.24,36.71,456.5,1312
2025-01-08 23:00:00,brinjal,29.6,28.8,28.1,63.48,35.68,468.0,1333
2025-01-09 00:00:00,brinjal,30.1,29.3,28.6,62.88,35.45,470.5,850
2025-01-09 01:00:00,brinjal,30.8,30.0,29.3,62.04,35.14,474.0,871
2025-01-09 02:00:00,brinjal,32.0,31.2,30.5,60.6,34.6,480.0,892
2025-01-09 03:00:00,brinjal,32.8,32.0,31.3,59.64,34.24,484.0,913
2025-01-09 04:00:00,brinjal,31.3,30.5,29.8,61.44,34.91,476.5,934
2025-01-09 05:00:00,brinjal,29.2,28.4,27.7,63.96,35.86,466.0,955
2025-01-09 06:00:00,brinjal,26.5,25.7,25.0,67.2,37.08,452.5,976
2025-01-09 07:00:00,brinjal,23.9,23.1,22.4,70.32,38.24,439.5,997
2025-01-09 08:00:00,brinjal,20.8,20.0,19.3,74.04,39.64,424.0,1018
2025-01-09 09:00:00,brinjal,22.0,21.2,20.5,72.6,39.1,430.0,1039
2025-01-09 10:00:00,brinjal,23.2,22.4,21.7,71.16,38.56,436.0,1060
2025-01-09 11:00:00,brinjal,24.8,24.0,23.3,69.24,37.84,444.0,1081
2025-01-09 12:00:00,brinjal,27.3,26.5,25.8,66.24,36.71,456.5,1102
2025-01-09 13:00:00,brinjal,29.6,28.8,28.1,63.48,35.68,468.0,1123
2025-01-09 14:00:00,brinjal,30.1,29.3,28.6,62.88,35.45,470.5,1144
2025-01-09 15:00:00,brinjal,30.8,30.0,29.3,62.04,35.14,474.0,1165
2025-01-09 16:00:00,brinjal,32.0,31.2,30.5,60.6,34.6,480.0,1186
2025-01-09 17:00:00,brinjal,32.8,32.0,31.3,59.64,34.24,484.0,1207
2025-01-09 18:00:00,brinjal,31.3,30.5,29.8,61.44,34.91,476.5,1228
2025-01-09 19:00:00,brinjal,29.2,28.4,27.7,63.96,35.86,466.0,1249
2025-01-09 20:00:00,brinjal,26.5,25.7,25.0,67.2,37.08,452.5,1270
2025-01-09 21:00:00,brinjal,23.9,23.1,22.4,70.32,38.24,439.5,1291
