timestamp,crop_type,indoor_temperature_c,canopy_temperature_c,ambient_temperature_c,humidity_pct,soil_moisture_pct,co2_ppm,light_lux
2025-01-10 00:00:00,ladysfinger,21.2,20.4,19.7,73.56,39.46,426.0,850
2025-01-10 01:00:00,ladysfinger,22.4,21.6,20.9,72.12,38.92,432.0,871
2025-01-10 02:00:00,ladysfinger,23.6,22.8,22.1,70.68,38.38,438.0,892
2025-01-10 03:00:00,ladysfinger,25.2,24.4,23.7,68.76,37.66,446.0,913
2025-01-10 04:00:00,ladysfinger,27.7,26.9,26.2,65.76,36.53,458.5,934
2025-01-10 05:00:00,ladysfinger,30.0,29.2,28.5,63.0,35.5,470.0,955
2025-01-10 06:00:00,ladysfinger,30.5,29.7,29.0,62.4,35.27,472.5,976
2025-01-10 07:00:00,ladysfinger,31.2,30.4,29.7,61.56,34.96,476.0,997
2025-01-10 08:00:00,ladysfinger,32.4,31.6,30.9,60.12,34.42,482.0,1018
2025-01-10 09:00:00,ladysfinger,33.2,32.4,31.7,59.16,34.06,486.0,1039
2025-01-10 10:00:00,ladysfinger,31.7,30.9,30.2,60.96,34.73,478.5,1060
2025-01-10 11:00:00,ladysfinger,29.6,28.8,28.1,63.48,35.68,468.0,1081
2025-01-10 12:00:00,ladysfinger,26.9,26.1,25.4,66.72,36.9,454.5,1102
2025-01-10 13:00:00,ladysfinger,24.3,23.5,22.8,69.84,38.06,441.5,1123
2025-01-10 14:00:00,ladysfinger,21.2,20.4,19.7,73.56,39.46,426.0,1144
2025-01-10 15:00:00,ladysfinger,22.4,21.6,20.9,72.12,38.92,432.0,1165
2025-01-10 16:00:00,ladysfinger,23.6,22.8,22.1,70.68,38.38,438.0,1186
2025-01-10 17:00:00,ladysfinger,25.2,24.4,23.7,68.76,37.66,446.0,1207
2025-01-10 18:00:00,ladysfinger,27.7,26.9,26.2,65.76,36.53,458.5,1228
2025-01-10 19:00:00,ladysfinger,30.0,29.2,28.5,63.0,35.5,470.0,1249
2025-01-10 20:00:00,ladysfinger,30.5,29.7,29.0,62.4,35.27,472.5,1270
2025-01-10 21:00:00,ladysfinger,31.2,30.4,29.7,61.56,34.96,476.0,1291
2025-01-10 22:00:00,ladysfinger,32.4,31.6,30.9,60.12,34.42,482.0,1312
2025-01-10 23:00:00,ladysfinger,33.2,32.4,31.7,59.16,34.06,486.0,1333
2025-01-11 00:00:00,ladysfinger,31.7,30.9,30.2,60.96,34.73,478.5,850
2025-01-11 01:00:00,ladysfinger,29.6,28.8,28.1,63.48,35.68,468.0,871
2025-01-11 02:00:00,ladysfinger,26.9,26.1,25.4,66.72,36.9,454.5,892
2025-01-11 03:00:00,ladysfinger,24.3,23.5,22.8,69.84,38.06,441.5,913
2025-01-11 04:00:00,ladysfinger,21.2,20.4,19.7,73.56,39.46,426.0,934
2025-01-11 05:00:00,ladysfinger,22.4,21.6,20.9,72.12,38.92,432.0,955
2025-01-11 06:00:00,ladysfinger,23.6,22.8,22.1,70.68,38.38,438.0,976
2025-01-11 07:00:00,ladysfinger,25.2,24.4,23.7,68.76,37.66,446.0,997
2025-01-11 08:00:00,ladysfinger,27.7,26.9,26.2,65.76,36.53,458.5,1018
2025-01-11 09:00:00,ladysfinger,30.0,29.2,28.5,63.0,35.5,470.0,1039
2025-01-11 10:00:00,ladysfinger,30.5,29.7,29.0,62.4,35.27,472.5,1060
2025-01-11 11:00:00,ladysfinger,31.2,30.4,29.7,61.56,34.96,476.0,1081
2025-01-11 12:00:00,ladysfinger,32.4,31.6,30.9,60.12,34.42,482.0,1102
2025-01-11 13:00:00,ladysfinger,33.2,32.4,31.7,59.16,34.06,486.0,1123
2025-01-11 14:00:00,ladysfinger,31.7,30.9,30.2,60.96,34.73,478.5,1144
2025-01-11 15:00:00,ladysfinger,29.6,28.8,28.1,63.48,35.68,468.0,1165
2025-01-11 16:00:00,ladysfinger,26.9,26.1,25.4,66.72,36.9,454.5,1186
2025-01-11 17:00:00,ladysfinger,24.3,23.5,22.8,69.84,38.06,441.5,1207
2025-01-11 18:00:00,ladysfinger,21.2,20.4,19.7,73.56,39.46,426.0,1228
2025-01-11 19:00:00,ladysfinger,22.4,21.6,20.9,72.12,38.92,432.0,1249
2025-01-11 20:00:00,ladysfinger,23.6,22.8,22.1,70.68,38.38,438.0,1270
2025-01-11 21:00:00,ladysfinger,25.2,24.4,23.7,68.76,37.66,446.0,1291
2025-01-11 22:00:00,ladysfinger,27.7,26.9,26.2,65.76,36.53,458.5,1312
2025-01-11 23:00:00,ladysfinger,30.0,29.2,28.5,63.0,35.5,470.0,1333
2025-01-12 00:00:00,ladysfinger,30.5,29.7,29.0,62.4,35.27,472.5,850
2025-01-12 01:00:00,ladysfinger,31.2,30.4,29.7,61.56,34.96,476.0,871
2025-01-12 02:00:00,ladysfinger,32.4,31.6,30.9,60.12,34.42,482.0,892
2025-01-12 03:00:00,ladysfinger,33.2,32.4,31.7,59.16,34.06,486.0,913
2025-01-12 04:00:00,ladysfinger,31.7,30.9,30.2,60.96,34.73,478.5,934
2025-01-12 05:00:00,ladysfinger,29.6,28.8,28.1,63.48,35.68,468.0,955
2025-01-12 06:00:00,ladysfinger,26.9,26.1,25.4,66.72,36.9,454.5,976
2025-01-12 07:00:00,ladysfinger,24.3,23.5,22.8,69.84,38.06,441.5,997
2025-01-12 08:00:00,ladysfinger,21.2,20.4,19.7,73.56,39.46,426.0,1018
2025-01-12 09:00:00,ladysfinger,22.4,21.6,20.9,72.12,38.92,432.0,1039
2025-01-12 10:00:00,ladysfinger,23.6,22.8,22.1,70.68,38.38,438.0,1060
2025-01-12 11:00:00,ladysfinger,25.2,24.4,23.7,68.76,37.66,446.0,1081
2025-01-12 12:00:00,ladysfinger,27.7,26.9,26.2,65.76,36.53,458.5,1102
2025-01-12 13:00:00,ladysfinger,30.0,29.2,28.5,63.0,35.5,470.0,1123
2025-01-12 14:00:00,ladysfinger,30.5,29.7,29.0,62.4,35.27,472.5,1144
2025-01-12 15:00:00,ladysfinger,31.2,30.4,29.7,61.56,34.96,476.0,1165
2025-01-12 16:00:00,ladysfinger,32.4,31.6,30.9,60.12,34.42,482.0,1186
2025-01-12 17:00:00,ladysfinger,33.2,32.4,31.7,59.16,34.06,486.0,1207
2025-01-12 18:00:00,ladysfinger,31.7,30.9,30.2,60.96,34.73,478.5,1228
2025-01-12 19:00:00,ladysfinger,29.6,28.8,28.1,63.48,35.68,468.0,1249
2025-01-12 20:00:00,ladysfinger,26.9,26.1,25.4,66.72,36.9,454.5,1270
2025-01-12 21:00:00,ladysfinger,24.3,23.5,22.8,69.84,38.06,441.5,1291
