timestamp,crop_type,indoor_temperature_c,canopy_temperature_c,ambient_temperature_c,humidity_pct,soil_moisture_pct,co2_ppm,light_lux
2025-06-01 00:00:00,mixed_crop,23.4,22.8,21.9,79.0,34.0,430.0,1081.0
2025-06-01 01:00:00,mixed_crop,23.1,22.5,21.6,80.0,34.0,432.0,1081.0
2025-06-01 02:00:00,mixed_crop,22.9,22.3,21.4,81.0,33.0,434.0,1081.0
2025-06-01 03:00:00,mixed_crop,22.6,22.0,21.2,82.0,33.0,435.0,1081.0
2025-06-01 04:00:00,mixed_crop,22.3,21.8,21.0,83.0,33.0,437.0,1081.0
2025-06-01 05:00:00,mixed_crop,22.0,21.5,20.8,84.0,33.0,439.0,1081.0
2025-06-01 06:00:00,mixed_crop,21.8,21.4,20.7,84.0,32.0,441.0,1081.0
2025-06-01 07:00:00,mixed_crop,22.2,21.8,21.0,84.0,32.0,445.0,1081.0
2025-06-01 08:00:00,mixed_crop,23.1,22.7,21.7,81.0,31.0,452.0,1081.0
2025-06-01 09:00:00,mixed_crop,24.4,23.9,22.8,77.0,31.0,460.0,1081.0
2025-06-01 10:00:00,mixed_crop,25.8,25.1,24.0,72.0,30.0,468.0,1081.0
2025-06-01 11:00:00,mixed_crop,27.1,26.3,25.0,68.0,30.0,475.0,1081.0
2025-06-01 12:00:00,mixed_crop,28.4,27.4,26.2,64.0,29.0,482.0,1081.0
2025-06-01 13:00:00,mixed_crop,29.2,28.1,27.0,61.0,29.0,489.0,1081.0
2025-06-01 14:00:00,mixed_crop,29.8,28.6,27.5,59.0,28.0,491.81,1081.0
2025-06-01 15:00:00,mixed_crop,30.1,28.8,27.7,59.0,28.0,491.81,1081.0
2025-06-01 16:00:00,mixed_crop,29.7,28.4,27.4,59.0,28.0,491.81,1081.0
2025-06-01 17:00:00,mixed_crop,28.9,27.8,26.8,62.0,28.0,486.0,1081.0
2025-06-01 18:00:00,mixed_crop,27.8,26.9,25.8,66.0,29.0,477.0,1081.0
2025-06-01 19:00:00,mixed_crop,26.8,26.0,24.9,70.0,29.0,470.0,1081.0
2025-06-01 20:00:00,mixed_crop,25.9,25.2,24.1,73.0,30.0,462.0,1081.0
2025-06-01 21:00:00,mixed_crop,25.1,24.5,23.4,75.0,30.0,455.0,1081.0
2025-06-01 22:00:00,mixed_crop,24.4,23.9,22.9,77.0,31.0,449.0,1081.0
2025-06-01 23:00:00,mixed_crop,23.9,23.3,22.4,78.0,31.0,442.0,1081.0
2025-06-02 00:00:00,mixed_crop,23.5,22.9,22.0,79.0,31.0,438.0,1081.0
2025-06-02 01:00:00,mixed_crop,23.2,22.5,21.8,80.0,31.0,436.0,1081.0
2025-06-02 02:00:00,mixed_crop,22.8,22.1,21.5,81.0,31.0,435.0,1081.0
2025-06-02 03:00:00,mixed_crop,22.5,21.9,21.3,82.0,31.0,434.0,1081.0
2025-06-02 04:00:00,mixed_crop,22.2,21.6,21.0,83.0,31.0,433.0,1081.0
2025-06-02 05:00:00,mixed_crop,21.9,21.4,20.8,84.0,31.0,432.0,1081.0
2025-06-02 06:00:00,mixed_crop,22.0,21.2,20.7,84.0,30.0,434.0,1081.0
2025-06-02 07:00:00,mixed_crop,22.1,21.6,20.9,84.0,30.0,438.0,1081.0
2025-06-02 08:00:00,mixed_crop,23.0,22.5,21.6,81.0,30.0,445.0,1081.0
2025-06-02 09:00:00,mixed_crop,24.2,23.6,22.6,77.0,29.0,454.0,1081.0
2025-06-02 10:00:00,mixed_crop,25.6,24.9,23.8,72.0,29.0,462.0,1081.0
2025-06-02 11:00:00,mixed_crop,26.9,26.1,24.9,68.0,29.0,470.0,1081.0
2025-06-02 12:00:00,mixed_crop,28.2,27.1,26.0,64.0,28.0,478.0,1081.0
2025-06-02 13:00:00,mixed_crop,29.0,27.8,26.8,61.0,28.0,486.0,1081.0
2025-06-02 14:00:00,mixed_crop,29.5,28.3,27.3,59.0,28.0,491.0,1081.0
2025-06-02 15:00:00,mixed_crop,29.9,28.6,27.6,59.0,28.0,491.81,1081.0
