timestamp,indoor_temperature_c,canopy_temperature_c,ambient_temperature_c
2025-06-01 00:00:00,23.4,22.8,21.9
2025-06-01 01:00:00,23.1,22.5,21.6
2025-06-01 02:00:00,22.9,22.3,21.4
2025-06-01 03:00:00,22.6,22.0,21.2
2025-06-01 04:00:00,22.3,21.8,21.0
2025-06-01 05:00:00,22.0,21.5,20.8
2025-06-01 06:00:00,21.839,21.4,20.7
2025-06-01 07:00:00,22.2,21.8,21.0
2025-06-01 08:00:00,23.1,22.7,21.7
2025-06-01 09:00:00,24.4,23.9,22.8
2025-06-01 10:00:00,25.8,25.1,24.0
2025-06-01 11:00:00,27.1,26.3,25.0
2025-06-01 12:00:00,28.4,27.4,26.2
2025-06-01 13:00:00,29.2,28.1,27.0
2025-06-01 14:00:00,29.8,28.6,27.5
2025-06-01 15:00:00,30.022,28.722,27.661
2025-06-01 16:00:00,29.7,28.4,27.4
2025-06-01 17:00:00,28.9,27.8,26.8
2025-06-01 18:00:00,27.8,26.9,25.8
2025-06-01 19:00:00,26.8,26.0,24.9
2025-06-01 20:00:00,25.9,25.2,24.1
2025-06-01 21:00:00,25.1,24.5,23.4
2025-06-01 22:00:00,24.4,23.9,22.9
2025-06-01 23:00:00,23.9,23.3,22.4
2025-06-02 00:00:00,23.5,22.9,22.0
2025-06-02 01:00:00,23.2,22.5,21.8
2025-06-02 02:00:00,22.8,22.1,21.5
2025-06-02 03:00:00,22.5,21.9,21.3
2025-06-02 04:00:00,22.2,21.6,21.0
2025-06-02 05:00:00,21.9,21.4,20.8
2025-06-02 06:00:00,22.0,21.278,20.7
2025-06-02 07:00:00,22.1,21.6,20.9
2025-06-02 08:00:00,23.0,22.5,21.6
2025-06-02 09:00:00,24.2,23.6,22.6
2025-06-02 10:00:00,25.6,24.9,23.8
2025-06-02 11:00:00,26.9,26.1,24.9
2025-06-02 12:00:00,28.2,27.1,26.0
2025-06-02 13:00:00,29.0,27.8,26.8
2025-06-02 14:00:00,29.5,28.3,27.3
2025-06-02 15:00:00,29.9,28.6,27.6
